"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","M5学员管理","学员管理-内训课","0","1","7","0","0"
"","M4-订单管理","预览订单","0","1","0","0","0"
"","M2-渠道管理","编辑渠道","0","0","1","0","0"
"","M1-登录","登录-校验权限","0","0","1","0","0"
"","M5学员管理","学员管理-体验课","1","1","6","0","0"
"","M09-学习数据管理","学习数据管理主页","1","0","0","0","0"
"","M07-学习数据看板","学习数据看板主页","1","0","0","0","0"
"","M06-学习数据看板","学习数据看板主页","1","0","0","0","0"
"","M4-订单管理","编辑订单","0","1","0","0","0"
"","M4-订单管理","新增订单","1","0","0","0","0"
"","M5学员管理","学员管理主页","0","0","1","0","0"
"","M10-学习数据管理","学习数据管理主页","1","0","0","0","0"
"","M08-用户管理","用户管理主页","1","0","0","0","0"
"","M2-渠道管理","渠道管理主页","0","0","1","0","0"
"","M5学员管理","学员管理-公开课","0","3","5","0","0"
"","M3-客户管理","新增客户","0","0","1","0","0"
"","M2-渠道管理","新增渠道","0","0","1","0","0"
"","M2-渠道管理","删除渠道","0","0","1","0","0"
"","M3-客户管理","客户管理主页","0","0","1","0","0"
"","M4-订单管理","订单管理主页","0","0","1","0","0"
